starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 17 15:58:28 2013	1371506308	215	511	726	438
Mon Jun 17 15:58:44 2013	1371506324	210	516	726	515
Mon Jun 17 15:58:30 2013	1371506310	213	514	726	513
Mon Jun 17 15:58:26 2013	1371506306	223	503	727	435
Mon Jun 17 15:58:44 2013	1371506324	219	508	727	508
Mon Jun 17 15:58:36 2013	1371506316	215	512	727	450
Mon Jun 17 15:58:36 2013	1371506316	225	502	727	502
Mon Jun 17 15:58:33 2013	1371506313	215	512	727	509
Mon Jun 17 15:58:44 2013	1371506324	234	493	727	490
Mon Jun 17 15:58:25 2013	1371506305	205	522	728	521
Mon Jun 17 15:58:44 2013	1371506324	209	519	728	518
Mon Jun 17 15:58:33 2013	1371506313	210	518	728	517
Mon Jun 17 15:58:33 2013	1371506313	204	527	731	526
Mon Jun 17 15:58:35 2013	1371506315	218	514	731	512
Mon Jun 17 15:58:26 2013	1371506306	224	508	731	458
Mon Jun 17 15:58:42 2013	1371506322	203	528	731	508
Mon Jun 17 15:58:46 2013	1371506326	216	516	732	452
Mon Jun 17 15:58:37 2013	1371506317	210	523	732	522
Mon Jun 17 15:58:44 2013	1371506324	201	531	733	528
Mon Jun 17 15:58:26 2013	1371506306	217	516	733	454
Mon Jun 17 15:58:31 2013	1371506311	204	529	733	528
Mon Jun 17 15:58:11 2013	1371506291	302	432	733	369
Mon Jun 17 15:58:27 2013	1371506307	199	534	734	462
Mon Jun 17 15:58:33 2013	1371506313	211	524	734	524
Mon Jun 17 15:58:35 2013	1371506315	205	530	735	529
Mon Jun 17 15:58:27 2013	1371506307	205	530	735	453
Mon Jun 17 15:58:39 2013	1371506319	204	531	736	469
Mon Jun 17 15:58:44 2013	1371506324	203	533	736	529
Mon Jun 17 15:58:24 2013	1371506304	202	535	736	533
Mon Jun 17 15:58:24 2013	1371506304	203	535	738	535
Mon Jun 17 15:58:44 2013	1371506324	205	533	738	532
Mon Jun 17 15:58:35 2013	1371506315	206	532	739	526
Mon Jun 17 15:58:43 2013	1371506323	213	526	739	526
Mon Jun 17 15:58:46 2013	1371506326	200	539	739	487
Mon Jun 17 15:58:37 2013	1371506317	217	523	740	516
Mon Jun 17 15:58:46 2013	1371506326	206	534	741	532
Mon Jun 17 15:58:38 2013	1371506318	204	537	741	448
Mon Jun 17 15:58:36 2013	1371506316	202	539	741	482
Mon Jun 17 15:58:27 2013	1371506307	203	538	742	474
Mon Jun 17 15:58:30 2013	1371506310	202	540	742	467
Mon Jun 17 15:58:25 2013	1371506305	204	538	742	538
Mon Jun 17 15:58:26 2013	1371506306	201	542	743	540
Mon Jun 17 15:58:37 2013	1371506317	209	534	744	530
Mon Jun 17 15:58:44 2013	1371506324	203	541	744	541
Mon Jun 17 15:58:25 2013	1371506305	212	532	744	532
Mon Jun 17 15:58:25 2013	1371506305	204	542	745	479
Mon Jun 17 15:58:35 2013	1371506315	202	544	746	542
Mon Jun 17 15:58:39 2013	1371506319	216	530	746	469
Mon Jun 17 15:58:41 2013	1371506321	202	545	747	543
Mon Jun 17 15:58:27 2013	1371506307	217	530	747	527
Mon Jun 17 15:58:46 2013	1371506326	204	543	747	470
Mon Jun 17 15:58:43 2013	1371506323	209	539	748	490
Mon Jun 17 15:58:36 2013	1371506316	204	544	748	535
Mon Jun 17 15:58:31 2013	1371506311	214	534	748	475
Mon Jun 17 15:58:26 2013	1371506306	214	535	748	535
Mon Jun 17 15:58:30 2013	1371506310	206	543	749	543
Mon Jun 17 15:58:12 2013	1371506292	213	536	749	479
Mon Jun 17 15:58:26 2013	1371506306	227	522	749	519
Mon Jun 17 15:58:37 2013	1371506317	234	515	750	515
Mon Jun 17 15:58:31 2013	1371506311	208	542	750	493
Mon Jun 17 15:58:11 2013	1371506291	323	427	750	425
Mon Jun 17 15:58:49 2013	1371506329	210	542	752	479
Mon Jun 17 15:58:44 2013	1371506324	205	547	752	473
Mon Jun 17 15:58:44 2013	1371506324	211	541	752	476
Mon Jun 17 15:58:35 2013	1371506315	202	550	752	548
Mon Jun 17 15:58:30 2013	1371506310	207	546	753	546
Mon Jun 17 15:58:25 2013	1371506305	208	545	753	542
Mon Jun 17 15:58:25 2013	1371506305	202	552	754	495
Mon Jun 17 15:58:12 2013	1371506292	214	540	755	478
Mon Jun 17 15:58:30 2013	1371506310	225	530	755	526
Mon Jun 17 15:58:23 2013	1371506303	207	548	755	548
Mon Jun 17 15:58:35 2013	1371506315	202	553	755	491
Mon Jun 17 15:58:35 2013	1371506315	217	539	756	535
Mon Jun 17 15:58:24 2013	1371506304	206	550	756	488
Mon Jun 17 15:58:44 2013	1371506324	213	544	757	483
Mon Jun 17 15:58:24 2013	1371506304	199	558	758	558
Mon Jun 17 15:58:33 2013	1371506313	201	558	760	558
Mon Jun 17 15:58:30 2013	1371506310	220	540	760	538
Mon Jun 17 15:58:30 2013	1371506310	209	551	760	550
Mon Jun 17 15:58:47 2013	1371506327	219	542	761	537
Mon Jun 17 15:58:30 2013	1371506310	208	554	761	551
Mon Jun 17 15:58:27 2013	1371506307	204	557	762	557
Mon Jun 17 15:58:24 2013	1371506304	202	559	762	496
Mon Jun 17 15:58:43 2013	1371506323	236	525	762	462
Mon Jun 17 15:58:27 2013	1371506307	228	535	762	534
Mon Jun 17 15:58:31 2013	1371506311	203	559	763	559
Mon Jun 17 15:58:37 2013	1371506317	220	543	763	539
Mon Jun 17 15:58:27 2013	1371506307	209	555	763	554
Mon Jun 17 15:58:30 2013	1371506310	212	553	764	553
Mon Jun 17 15:58:49 2013	1371506329	204	560	764	498
Mon Jun 17 15:58:31 2013	1371506311	204	561	765	496
Mon Jun 17 15:58:47 2013	1371506327	202	563	765	501
Mon Jun 17 15:58:30 2013	1371506310	210	557	767	556
Mon Jun 17 15:58:24 2013	1371506304	202	565	768	510
Mon Jun 17 15:58:30 2013	1371506310	207	561	768	552
Mon Jun 17 15:58:45 2013	1371506325	204	565	769	564
Mon Jun 17 15:58:43 2013	1371506323	230	539	769	467
Mon Jun 17 15:58:44 2013	1371506324	202	567	769	565
Mon Jun 17 15:58:43 2013	1371506323	218	551	769	499
Mon Jun 17 15:58:28 2013	1371506308	239	530	770	530
Mon Jun 17 15:58:25 2013	1371506305	206	563	770	561
Mon Jun 17 15:58:43 2013	1371506323	209	561	770	511
Mon Jun 17 15:58:44 2013	1371506324	224	548	772	526
Mon Jun 17 15:58:43 2013	1371506323	200	572	772	568
Mon Jun 17 15:58:33 2013	1371506313	224	548	772	547
Mon Jun 17 15:58:35 2013	1371506315	226	546	773	546
Mon Jun 17 15:58:39 2013	1371506319	204	569	773	498
Mon Jun 17 15:58:23 2013	1371506303	204	570	774	569
Mon Jun 17 15:58:12 2013	1371506292	213	562	775	496
Mon Jun 17 15:58:44 2013	1371506324	209	566	775	566
Mon Jun 17 15:58:33 2013	1371506313	205	571	776	540
Mon Jun 17 15:58:24 2013	1371506304	210	566	776	562
Mon Jun 17 15:58:25 2013	1371506305	203	574	777	565
Mon Jun 17 15:58:37 2013	1371506317	232	545	777	540
Mon Jun 17 15:58:25 2013	1371506305	204	574	777	572
Mon Jun 17 15:58:35 2013	1371506315	202	576	778	512
Mon Jun 17 15:58:25 2013	1371506305	222	556	778	475
Mon Jun 17 15:58:35 2013	1371506315	219	559	778	500
Mon Jun 17 15:58:37 2013	1371506317	218	560	778	482
Mon Jun 17 15:58:38 2013	1371506318	217	562	778	500
Mon Jun 17 15:58:35 2013	1371506315	229	549	779	549
Mon Jun 17 15:58:29 2013	1371506309	222	557	779	556
Mon Jun 17 15:58:28 2013	1371506308	223	557	780	555
Mon Jun 17 15:58:43 2013	1371506323	229	552	780	552
Mon Jun 17 15:58:33 2013	1371506313	222	559	781	557
Mon Jun 17 15:58:26 2013	1371506306	205	577	782	515
Mon Jun 17 15:58:43 2013	1371506323	248	534	782	527
Mon Jun 17 15:58:26 2013	1371506306	216	566	782	563
Mon Jun 17 15:58:41 2013	1371506321	206	576	782	575
Mon Jun 17 15:58:28 2013	1371506308	209	574	783	572
Mon Jun 17 15:58:39 2013	1371506319	202	580	783	521
Mon Jun 17 15:58:27 2013	1371506307	205	577	783	509
Mon Jun 17 15:58:24 2013	1371506304	207	576	783	503
Mon Jun 17 15:58:26 2013	1371506306	204	579	783	579
Mon Jun 17 15:58:31 2013	1371506311	239	545	784	541
Mon Jun 17 15:58:32 2013	1371506312	207	576	784	575
Mon Jun 17 15:58:34 2013	1371506314	204	580	784	580
